"TauSxy","nut","alphas","alpha.water","TauFxy","rho","mum","k","psk","psf","p_rgh","alpha.sand","mup","CD","p","alpha.air","gamma","alphaSolInd","epsilon","gradAlphad:0","gradAlphad:1","gradAlphad:2","U:0","U:1","U:2","gradPsf:0","gradPsf:1","gradPsf:2","Wi:0","Wi:1","Wi:2","Wtd:0","Wtd:1","Wtd:2","Wsd:0","Wsd:1","Wsd:2","W:0","W:1","W:2","TauF:0","TauF:1","TauF:2","TauF:3","TauF:4","TauF:5","TauS:0","TauS:1","TauS:2","TauS:3","TauS:4","TauS:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.6616,1.0164e-05,1.0908,0.45462,0.030309,1103.6,0.023842,0.00017421,1.1556,3.6712,16.039,0.54538,1.4054,64.18,-92.227,-2.7756e-17,1,1,0.00026903,-1.2931e-13,-2.4699,0,0.0018561,3.9662e-06,0,1.7183e-12,-1117.2,0,0,0,0,1.6061e-18,9.2685e-05,0,0,0,0,1.6061e-18,9.2685e-05,0,-1.2214e-05,2.4428e-05,-1.2214e-05,0.030309,0,0,-0.0010912,0.0021824,-0.0010912,2.6616,0,0,1,0.010001,-0.00034,0.01,-0.00034
2.7057,1.118e-05,1.0888,0.45562,0.044465,1103.4,0.023163,0.00021498,2.1925,2.6026,16.051,0.54438,0.95533,63.444,-103.02,2.449e-17,1,1,0.0003724,0,-3.6352,0,0.0042975,5.5735e-06,0,0,-1037.2,0,0,0,0,0,0.00013146,0,0,0,0,0,0.00013146,0,-3.5915e-05,7.183e-05,-3.5915e-05,0.044465,0,0,-0.0021509,0.0043017,-0.0021509,2.7057,0,0,1,0.011001,-0.0003315,0.011,-0.0003315
2.6973,1.2092e-05,1.086,0.457,0.054905,1103.2,0.022284,0.00026601,3.0942,1.6074,16.05,0.543,0.77353,62.094,-113.81,-2.1225e-17,1,1,0.00052758,-6.592e-14,-5.3338,0,0.0074715,1.3906e-05,0,1.7745e-12,-985.63,0,0,0,0,3.2438e-18,0.00021868,0,0,0,0,3.2438e-18,0.00021868,0,-6.1172e-05,0.00012234,-6.1172e-05,0.054905,0,0,-0.0033631,0.0067262,-0.0033631,2.6973,0,0,1,0.012001,-0.000323,0.012,-0.000323
2.7392,1.295e-05,1.0798,0.46008,0.067642,1102.6,0.020589,0.00033424,4.0651,0.61581,15.226,0.53992,0.62894,57.863,-125.39,-2.7756e-17,1,1,0.0007785,-8.6203e-14,-7.7606,0,0.011329,-1.2416e-05,0,1.0176e-12,-974.95,0,0,0,0,4.6699e-18,0.0014632,0,0,0,0,4.6699e-18,0.0014632,0,0.00043627,-0.00087254,0.00043627,0.067642,0,0,0.018346,-0.036692,0.018346,2.7392,0,0,1,0.013001,-0.0003145,0.013,-0.0003145
2.5114,1.4601e-05,1.0188,0.49062,0.10411,1096.8,0.011816,0.00046437,3.965,0.002742,15.793,0.50938,0.32108,39.442,-134.83,2.7756e-17,1,1,0.001334,-8.6203e-14,-11.126,0,0.017003,-1.2455e-05,0,1.1192e-13,-82.155,0,8.5465e-07,-0.0065766,0,2.6916e-18,0.0069074,0,0,0,0,8.5465e-07,0.00033085,0,-0.00026231,0.00052462,-0.00026231,0.10411,0,0,-0.006599,0.013198,-0.006599,2.5114,0,0,1,0.014001,-0.000306,0.014,-0.000306
2.3678,1.8165e-05,0.91814,0.54093,0.19243,1087.2,0.0066144,0.00076891,3.4094,0,15.115,0.45907,0.16951,22.938,-144.86,1.6327e-17,1,1,0.0029488,-3.0425e-14,-15.733,0,0.028188,1.0234e-06,0,0,0,0,1.0552e-06,-0.0094558,0,-2.1977e-18,0.0094953,0,0,0,0,1.0552e-06,3.9442e-05,0,-2.2676e-05,4.5352e-05,-2.2676e-05,0.19243,0,0,-0.00033754,0.00067508,-0.00033754,2.3678,0,0,1,0.015001,-0.0002975,0.015,-0.0002975
2.1143,2.3042e-05,0.81302,0.59349,0.3457,1077.2,0.0044379,0.0012656,2.8303,0,14.178,0.40651,0.1019,14.177,-154.9,1.9592e-17,1,1,0.0062864,0,-21.685,0,0.045804,1.4448e-06,0,0,0,0,-1.3542e-06,-0.012587,0,0,0.012621,0,0,0,0,-1.3542e-06,3.4152e-05,0,-1.0132e-06,2.0263e-06,-1.0132e-06,0.3457,0,0,-6.1557e-06,1.2311e-05,-6.1557e-06,2.1143,0,0,1,0.016001,-0.000289,0.016,-0.000289
1.7702,2.8593e-05,0.70788,0.64606,0.5779,1067.2,0.0032788,0.0019411,2.2378,0,13.156,0.35394,0.063582,9.195,-164.82,-5.5511e-17,1,1,0.011878,0,-28.891,0,0.070186,1.5484e-06,0,0,0,0,-2.4215e-06,-0.016231,0,0,0.016269,0,0,0,0,-2.4215e-06,3.7755e-05,0,-1.2064e-06,2.4127e-06,-1.2064e-06,0.5779,0,0,-3.7879e-06,7.5759e-06,-3.7879e-06,1.7702,0,0,1,0.017001,-0.0002805,0.017,-0.0002805
1.3558,3.465e-05,0.60608,0.69696,0.89196,1057.6,0.0025948,0.0027599,1.6418,0,12.09,0.30304,0.039883,6.354,-174.65,-3.5919e-17,1,1,0.019813,0,-36.88,0,0.10156,1.6132e-06,0,0,0,0,-3.7768e-06,-0.020308,0,0,0.02035,0,0,0,0,-3.7768e-06,4.2494e-05,0,-7.8487e-07,1.5697e-06,-7.8487e-07,0.89196,0,0,-1.2623e-06,2.5245e-06,-1.2623e-06,1.3558,0,0,1,0.018001,-0.000272,0.018,-0.000272
0.92876,4.1254e-05,0.51077,0.74462,1.2517,1048.5,0.0021451,0.0036261,1.0871,0,11.003,0.25538,0.024121,4.6158,-184.42,0,1,1,0.028696,0,-44.516,0,0.13827,1.642e-06,0,0,0,0,-4.7836e-06,-0.024597,0,0,0.024644,0,0,0,0,-4.7836e-06,4.7779e-05,0,-2.3901e-07,4.7803e-07,-2.3901e-07,1.2517,0,0,-2.1278e-07,4.2555e-07,-2.1278e-07,0.92876,0,0,1,0.019001,-0.0002635,0.019,-0.0002635
