"p","U:0","U:1","U:2","CD","W:0","W:1","W:2","Wi:0","Wi:1","Wi:2","Wsd:0","Wsd:1","Wsd:2","Wtd:0","Wtd:1","Wtd:2","alpha.air","alpha.sand","alpha.water","alphaSolInd","alphas","epsilon","gamma","gradAlphad:0","gradAlphad:1","gradAlphad:2","gradPsf:0","gradPsf:1","gradPsf:2","k","mum","mup","nut","p_rgh","psf","psk","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-293.51,0.45423,7.6545e-07,0,1.4192,-1.9774e-06,0.00010671,0,-1.9774e-06,-0.050225,0,0,6.7673e-07,0,0,0.050332,0,0,0.039675,0.96033,1,0.029504,0.029238,1,0,-5.7574,0,0,0,0,0.0068797,0.0011065,2.2572e-06,0.00014575,3.0077,0,3.9824e-05,1007.5,1,0.03,0,0.03,0
-303.39,0.47053,7.0817e-07,0,1.3876,-1.9775e-06,0.00011175,0,-1.9775e-06,-0.050922,0,0,4.5241e-07,0,0,0.051033,0,0,0.034844,0.96516,1,0.019912,0.027501,1,0,-3.9238,0,0,0,0,0.0068985,0.0010927,1.7089e-06,0.00015578,2.7334,0,2.8011e-05,1006.6,1,0.031,0,0.031,0
-313.26,0.4857,6.5679e-07,0,1.3618,-1.9754e-06,0.00011668,0,-1.9754e-06,-0.051508,0,6.7603e-22,3.1006e-07,0,-1.4524e-18,0.051625,0,0,0.030803,0.9692,1,0.013459,0.025918,1,-9.5076e-16,-2.669,0,0,0,0,0.0069062,0.0010813,1.3166e-06,0.00016567,2.4963,0,2.0171e-05,1005.9,1,0.032,0,0.032,0
-323.12,0.49992,6.1034e-07,0,1.3404,-1.9713e-06,0.0001215,0,-1.9713e-06,-0.052009,0,3.5316e-22,2.1599e-07,0,8.0046e-18,0.052131,0,0,0.027372,0.97263,1,0.0090635,0.024469,1,-1.0102e-15,-1.8052,0,0,0,0,0.0069053,0.0010718,1.0267e-06,0.00017543,2.2886,0,1.4759e-05,1005.2,1,0.033,0,0.033,0
-332.98,0.5133,5.6813e-07,0,1.3224,-1.9646e-06,0.00012622,0,-1.9646e-06,-0.052441,0,2.9107e-22,1.525e-07,0,1.7676e-17,0.052567,0,0,0.024435,0.97557,1,0.0060725,0.023141,1,-3.3673e-16,-1.2132,0,0,0,0,0.0068973,0.0010638,8.0902e-07,0.00018504,2.1054,0,1.0943e-05,1004.6,1,0.034,0,0.034,0
-342.84,0.52589,5.2988e-07,0,1.3073,-1.956e-06,0.00013084,0,-1.956e-06,-0.05281,0,0,1.0991e-07,0,-2.5611e-17,0.052941,0,0,0.021928,0.97807,1,0.0040917,0.021929,1,-1.6837e-16,-0.81897,0,0,0,0,0.0068831,0.001057,6.4601e-07,0.00019449,1.9442,0,8.2616e-06,1004.2,1,0.035,0,0.035,0
-352.68,0.53783,4.9487e-07,0,1.2944,-1.9454e-06,0.00013532,0,-1.9454e-06,-0.053132,0,2.3902e-22,8.0117e-08,0,-3.8382e-17,0.053268,0,0,0.019753,0.98025,1,0.0027456,0.020813,1,-1.1885e-16,-0.55032,0,0,0,0,0.0068641,0.0010511,5.2011e-07,0.00020378,1.8004,0,6.3035e-06,1003.8,1,0.036,0,0.036,0
-362.53,0.54916,4.6276e-07,0,1.2833,-1.9331e-06,0.00013965,0,-1.9331e-06,-0.053414,0,1.4293e-22,5.9073e-08,0,-5.8343e-18,0.053553,0,0,0.017859,0.98214,1,0.0018379,0.019786,1,-1.6837e-16,-0.36869,0,0,0,0,0.0068409,0.0010461,4.2214e-07,0.0002129,1.6717,0,4.8601e-06,1003.4,1,0.037,0,0.037,0
-372.37,0.55993,4.3332e-07,0,1.2737,-1.9199e-06,0.00014379,0,-1.9199e-06,-0.053659,0,6.9166e-23,4.4209e-08,0,2.003e-17,0.053803,0,0,0.01621,0.98379,1,0.0012361,0.01884,1,-1.7332e-17,-0.2481,0,0,0,0,0.0068141,0.0010417,3.4588e-07,0.00022185,1.5565,0,3.7952e-06,1003.1,1,0.038,0,0.038,0
-382.21,0.57022,4.0612e-07,0,1.2653,-1.9064e-06,0.00014777,0,-1.9064e-06,-0.053876,0,3.9523e-23,3.3377e-08,0,1.1446e-17,0.054024,0,0,0.014758,0.98524,1,0.0008279,0.017964,1,-9.9037e-18,-0.16631,0,0,0,0,0.0067843,0.0010379,2.8514e-07,0.00023063,1.4523,0,2.9871e-06,1002.8,1,0.039,0,0.039,0
-392.05,0.58005,3.8096e-07,0,1.258,-1.8932e-06,0.00015158,0,-1.8932e-06,-0.054068,0,8.2577e-23,2.545e-08,0,6.6637e-18,0.05422,0,0,0.013475,0.98653,1,0.00055464,0.017152,1,-2.3522e-17,-0.1114,0,0,0,0,0.0067519,0.0010345,2.3662e-07,0.00023924,1.3579,0,2.3714e-06,1002.6,1,0.04,0,0.04,0
-401.88,0.58946,3.5768e-07,0,1.2516,-1.8809e-06,0.00015522,0,-1.8809e-06,-0.054238,0,2.0143e-23,1.9619e-08,0,5.8274e-18,0.054393,0,0,0.012341,0.98766,1,0.0003725,0.016399,1,-2.2284e-17,-0.07486,0,0,0,0,0.0067172,0.0010315,1.9771e-07,0.00024767,1.2723,0,1.9e-06,1002.3,1,0.041,0,0.041,0
-411.71,0.59849,3.3602e-07,0,1.2458,-1.8701e-06,0.00015867,0,-1.8701e-06,-0.05439,0,9.1682e-23,1.523e-08,0,1.933e-17,0.054549,0,0,0.011329,0.98867,1,0.00024962,0.015696,1,-1.0523e-17,-0.050122,0,0,0,0,0.0066807,0.0010289,1.6599e-07,0.00025594,1.1941,0,1.5315e-06,1002.2,1,0.042,0,0.042,0
-421.54,0.60717,3.1586e-07,0,1.2408,-1.8614e-06,0.00016192,0,-1.8614e-06,-0.054526,0,4.9424e-23,1.1925e-08,0,7.2234e-17,0.054688,0,0,0.010425,0.98957,1,0.00016722,0.015041,1,-1.5784e-17,-0.033598,0,0,0,0,0.0066424,0.0010265,1.4012e-07,0.00026404,1.1225,0,1.2435e-06,1002,1,0.043,0,0.043,0
-431.37,0.61553,2.9706e-07,0,1.2363,-1.855e-06,0.00016495,0,-1.855e-06,-0.054648,0,6.463e-23,9.4133e-09,0,2.4414e-17,0.054813,0,0,0.0096161,0.99038,1,0.0001121,0.014429,1,-5.2615e-18,-0.022559,0,0,0,0,0.0066026,0.0010244,1.1888e-07,0.00027196,1.0569,0,1.0164e-06,1001.8,1,0.044,0,0.044,0
-441.2,0.62359,2.7948e-07,0,1.2322,-1.851e-06,0.00016779,0,-1.851e-06,-0.054758,0,0,7.4724e-09,0,0,0.054926,0,0,0.0088863,0.99111,1,7.5317e-05,0.013854,1,0,-0.015092,0,0,0,0,0.0065616,0.0010226,1.0124e-07,0.00027972,0.99644,0,8.3479e-07,1001.7,1,0.045,0,0.045,0
-451.02,0.63136,2.6306e-07,0,1.2286,-1.8498e-06,0.00017043,0,-1.8498e-06,-0.054857,0,0,5.9772e-09,0,1.4332e-17,0.055028,0,0,0.0082291,0.99177,1,5.0256e-05,0.013315,1,-6.19e-19,-0.010127,0,0,0,0,0.0065195,0.0010209,8.6628e-08,0.00028731,0.94072,0,6.899e-07,1001.6,1,0.046,0,0.046,0
-460.85,0.63887,2.4767e-07,0,1.2253,-1.8515e-06,0.00017287,0,-1.8515e-06,-0.054947,0,7.5291e-24,4.8101e-09,0,-1.1187e-17,0.05512,0,0,0.0076342,0.99237,1,3.3643e-05,0.012809,1,-1.857e-18,-0.0067953,0,0,0,0,0.0064763,0.0010193,7.4404e-08,0.00029473,0.88917,0,5.73e-07,1001.4,1,0.047,0,0.047,0
-470.67,0.64615,2.3322e-07,0,1.2223,-1.8559e-06,0.00017511,0,-1.8559e-06,-0.055029,0,7.5293e-25,3.8887e-09,0,-3.6269e-18,0.055204,0,0,0.0070931,0.99291,1,2.2421e-05,0.012331,1,-7.7375e-20,-0.0045428,0,0,0,0,0.0064323,0.001018,6.4096e-08,0.000302,0.8413,0,4.7773e-07,1001.3,1,0.048,0,0.048,0
-480.5,0.65318,2.1969e-07,0,1.2196,-1.8633e-06,0.00017712,0,-1.8633e-06,-0.055103,0,1.5023e-23,3.1655e-09,0,6.9344e-18,0.05528,0,0,0.0066022,0.9934,1,1.5151e-05,0.011881,1,-1.3927e-18,-0.0030516,0,0,0,0,0.0063875,0.0010167,5.5443e-08,0.00030909,0.79692,0,4.0047e-07,1001.3,1,0.049,0,0.049,0
-490.32,0.66001,2.0697e-07,0,1.2172,-1.8735e-06,0.00017893,0,-1.8735e-06,-0.055171,0,8.886e-24,2.5883e-09,0,1.0356e-16,0.05535,0,0,0.0061539,0.99385,1,9.9445e-06,0.011455,1,-6.5768e-19,-0.0020464,0,0,0,0,0.0063421,0.0010155,4.8094e-08,0.00031603,0.75557,0,3.3694e-07,1001.2,1,0.05,0,0.05,0
-500.14,0.66664,1.9499e-07,0,1.2149,-1.8863e-06,0.00018054,0,-1.8863e-06,-0.055234,0,7.4564e-24,2.1244e-09,0,2.6175e-17,0.055414,0,0,0.0057433,0.99426,1,6.9016e-06,0.011052,1,-3.2884e-19,-0.0013672,0,0,0,0,0.006296,0.0010145,4.1821e-08,0.00032282,0.71695,0,2.8437e-07,1001.1,1,0.051,0,0.051,0
-509.96,0.67307,1.8376e-07,0,1.2129,-1.9019e-06,0.00018196,0,-1.9019e-06,-0.05529,0,1.3297e-23,1.7546e-09,0,3.2441e-17,0.055472,0,0,0.0053685,0.99463,1,4.6111e-06,0.01067,1,-3.2884e-19,-0.00091942,0,0,0,0,0.0062494,0.0010135,3.6499e-08,0.00032944,0.68097,0,2.4118e-07,1001,1,0.052,0,0.052,0
-519.78,0.67932,1.7318e-07,0,1.211,-1.9198e-06,0.00018318,0,-1.9198e-06,-0.055343,0,0,1.454e-09,0,0,0.055526,0,0,0.0050237,0.99498,1,3.1802e-06,0.010308,1,0,-0.00061621,0,0,0,0,0.0062024,0.0010127,3.1922e-08,0.00033591,0.64724,0,2.051e-07,1001,1,0.053,0,0.053,0
-529.6,0.6854,1.632e-07,0,1.2093,-1.9401e-06,0.00018422,0,-1.9401e-06,-0.055391,0,2.8014e-25,1.2092e-09,0,2.5514e-18,0.055575,0,0,0.0047062,0.99529,1,2.0253e-06,0.009963,1,0,-0.0004121,0,0,0,0,0.006155,0.0010119,2.798e-08,0.00034223,0.6156,0,1.7491e-07,1000.9,1,0.054,0,0.054,0
-539.42,0.69132,1.5383e-07,0,1.2077,-1.9626e-06,0.00018505,0,-1.9626e-06,-0.055435,0,4.5614e-24,1.0106e-09,0,-8.678e-18,0.05562,0,0,0.0044144,0.99559,1,1.6891e-06,0.0096353,1,-3.3851e-20,-0.00027699,0,0,0,0,0.0061071,0.0010111,2.4596e-08,0.0003484,0.58596,0,1.4974e-07,1000.8,1,0.055,0,0.055,0
-549.23,0.69709,1.4498e-07,0,1.2062,-1.987e-06,0.00018571,0,-1.987e-06,-0.055476,0,1.0057e-24,8.4703e-10,0,-1.9538e-17,0.055662,0,0,0.0041445,0.99586,1,5.7923e-07,0.0093228,1,-1.9343e-20,-0.00018553,0,0,0,0,0.006059,0.0010104,2.1659e-08,0.00035442,0.55805,0,1.2847e-07,1000.8,1,0.056,0,0.056,0
-559.05,0.70271,1.3664e-07,0,1.2049,-2.0133e-06,0.00018619,0,-2.0133e-06,-0.055514,0,3.2184e-24,7.1232e-10,0,-1.1751e-18,0.0557,0,0,0.003895,0.9961,1,3.0903e-07,0.0090247,1,-7.2538e-20,-0.00012421,0,0,0,0,0.0060106,0.0010098,1.9111e-08,0.00036029,0.53178,0,1.1052e-07,1000.7,1,0.057,0,0.057,0
-568.87,0.70819,1.288e-07,0,1.2037,-2.0413e-06,0.00018651,0,-2.0413e-06,-0.055549,0,0,6.014e-10,0,8.9232e-17,0.055736,0,0,0.0036642,0.99634,1,2.0759e-07,0.0087403,1,-2.0552e-20,-8.3437e-05,0,0,0,0,0.0059619,0.0010092,1.6902e-08,0.00036602,0.50705,0,9.5359e-08,1000.7,1,0.058,0,0.058,0
-578.69,0.71354,1.2139e-07,0,1.2025,-2.0708e-06,0.00018667,0,-2.0708e-06,-0.055582,0,2.205e-24,5.0896e-10,0,8.6104e-17,0.055769,0,0,0.0034499,0.99655,1,1.3896e-07,0.0084681,1,-2.5388e-20,-5.5852e-05,0,0,0,0,0.005913,0.0010087,1.497e-08,0.00037161,0.48369,0,8.2432e-08,1000.7,1,0.059,0,0.059,0
-588.5,0.71876,1.1441e-07,0,1.2014,-2.1017e-06,0.00018667,0,-2.1017e-06,-0.055612,0,1.2106e-24,4.3212e-10,0,1.1553e-16,0.055799,0,0,0.0032509,0.99675,1,9.3132e-08,0.0082078,1,-2.0552e-20,-3.7433e-05,0,0,0,0,0.0058639,0.0010082,1.3284e-08,0.00037705,0.46163,0,7.1432e-08,1000.6,1,0.06,0,0.06,0
-598.32,0.72386,1.0784e-07,0,1.2004,-2.1338e-06,0.00018652,0,-2.1338e-06,-0.05564,0,0,3.6803e-10,0,0,0.055827,0,0,0.003066,0.99693,1,6.2527e-08,0.0079586,1,0,-2.5132e-05,0,0,0,0,0.0058147,0.0010077,1.1809e-08,0.00038236,0.44078,0,6.2046e-08,1000.6,1,0.061,0,0.061,0
-608.13,0.72885,1.0164e-07,0,1.1995,-2.1669e-06,0.00018624,0,-2.1669e-06,-0.055667,0,2.4993e-24,3.141e-10,0,-1.4831e-16,0.055853,0,0,0.0028935,0.99711,1,4.1828e-08,0.0077195,1,-2.2668e-21,-1.6812e-05,0,0,0,0,0.0057653,0.0010073,1.051e-08,0.00038753,0.42102,0,5.3976e-08,1000.6,1,0.062,0,0.062,0
-617.95,0.73372,9.5802e-08,0,1.1987,-2.2009e-06,0.00018581,0,-2.2009e-06,-0.055691,0,1.9263e-25,2.689e-10,0,-1.0673e-17,0.055877,0,0,0.0027329,0.99727,1,2.8065e-08,0.0074901,1,-1.209e-21,-1.128e-05,0,0,0,0,0.0057158,0.0010069,9.3712e-09,0.00039257,0.40231,0,4.7065e-08,1000.5,1,0.063,0,0.063,0
-627.76,0.73849,9.0299e-08,0,1.1979,-2.2358e-06,0.00018527,0,-2.2358e-06,-0.055714,0,3.371e-25,2.3077e-10,0,-1.8678e-17,0.055899,0,0,0.002583,0.99742,1,1.8831e-08,0.0072699,1,-2.1157e-21,-7.5689e-06,0,0,0,0,0.0056661,0.0010065,8.3673e-09,0.00039747,0.38458,0,4.1114e-08,1000.5,1,0.064,0,0.064,0
-637.58,0.74316,8.5107e-08,0,1.1971,-2.2712e-06,0.0001846,0,-2.2712e-06,-0.055735,0,7.0779e-25,1.984e-10,0,1.188e-16,0.05592,0,0,0.0024428,0.99756,1,1.2589e-08,0.007058,1,-1.2845e-21,-5.06e-06,0,0,0,0,0.0056164,0.0010061,7.4787e-09,0.00040224,0.36772,0,3.5961e-08,1000.5,1,0.065,0,0.065,0
-647.39,0.74772,8.0223e-08,0,1.1964,-2.3072e-06,0.00018384,0,-2.3072e-06,-0.055755,0,6.1692e-25,1.7108e-10,0,1.354e-16,0.055939,0,0,0.0023118,0.99769,1,8.4564e-09,0.0068545,1,-1.2845e-21,-3.3989e-06,0,0,0,0,0.0055666,0.0010058,6.6956e-09,0.00040688,0.35173,0,3.1524e-08,1000.4,1,0.066,0,0.066,0
-657.21,0.75219,7.5619e-08,0,1.1957,-2.3436e-06,0.00018297,0,-2.3436e-06,-0.055774,0,3.4609e-25,1.4781e-10,0,-6.2963e-17,0.055957,0,0,0.002189,0.99781,1,5.6709e-09,0.0066584,1,-4.1559e-22,-2.2793e-06,0,0,0,0,0.0055168,0.0010055,6.0009e-09,0.00041139,0.33651,0,2.7672e-08,1000.4,1,0.067,0,0.067,0
-667.02,0.75658,7.1274e-08,0,1.1951,-2.38e-06,0.00018202,0,-2.38e-06,-0.055792,0,0,1.279e-10,0,0,0.055974,0,0,0.0020737,0.99793,1,3.7886e-09,0.0064694,1,0,-1.5227e-06,0,0,0,0,0.0054669,0.0010052,5.3829e-09,0.00041578,0.32202,0,2.4316e-08,1000.4,1,0.068,0,0.068,0
