"TauSxy","TauFxy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.0305e-09,1.4487,1,0.088006,0.000323,0.088,0.000323
1.7523e-09,1.4315,1,0.089006,0.0003315,0.089,0.0003315
1.498e-09,1.4135,1,0.090007,0.00034,0.09,0.00034
1.2681e-09,1.3958,1,0.091007,0.0003485,0.091,0.0003485
1.0614e-09,1.3783,1,0.092007,0.000357,0.092,0.000357
8.7582e-10,1.3606,1,0.093007,0.0003655,0.093,0.0003655
7.1155e-10,1.343,1,0.094007,0.000374,0.094,0.000374
5.6737e-10,1.3253,1,0.095007,0.0003825,0.095,0.0003825
4.4136e-10,1.3075,1,0.096007,0.000391,0.096,0.000391
3.3302e-10,1.2896,1,0.097007,0.0003995,0.097,0.0003995
2.4144e-10,1.2724,1,0.098007,0.000408,0.098,0.000408
1.6535e-10,1.2546,1,0.099007,0.0004165,0.099,0.0004165
1.0536e-10,1.237,1,0.10001,0.000425,0.1,0.000425
